genre,season,seasonal_mean,genre_mean
정통,spring,8,8
블루스/포크,fall,7.833333333333333,8.275862068965518
블루스/포크,spring,8.625,8.275862068965518
블루스/포크,summer,10,8.275862068965518
블루스/포크,winter,10,8.275862068965518
트로트,fall,9.578947368421053,8.672985781990521
트로트,spring,8.686440677966102,8.672985781990521
트로트,summer,5.538461538461538,8.672985781990521
트로트,winter,9.979166666666666,8.672985781990521
해외영화,fall,7.323529411764706,7.59375
해외영화,spring,10,7.59375
해외영화,summer,6.415384615384616,7.59375
해외영화,winter,8.755102040816327,7.59375
발라드,fall,6.2684108527131785,6.77873754152824
발라드,spring,7.3660498793242155,6.77873754152824
발라드,summer,6.517241379310345,6.77873754152824
발라드,winter,6.802386278896346,6.77873754152824
애니메이션/게임,fall,8.681818181818182,8.458064516129033
애니메이션/게임,spring,9.678571428571429,8.458064516129033
애니메이션/게임,summer,9.827586206896552,8.458064516129033
애니메이션/게임,winter,7.421052631578948,8.458064516129033
락,fall,8.067567567567568,7.80984952120383
락,spring,7.685185185185185,7.80984952120383
락,summer,7.0647482014388485,7.80984952120383
락,winter,8.379310344827585,7.80984952120383
캐롤,fall,9.5,8.052631578947368
캐롤,winter,7.882352941176471,8.052631578947368
일렉트로니카,fall,8.085714285714285,8.244505494505495
일렉트로니카,spring,8.451612903225806,8.244505494505495
일렉트로니카,summer,8.141592920353983,8.244505494505495
일렉트로니카,winter,8.284090909090908,8.244505494505495
R&B/소울,fall,7.378125,7.660814046288906
R&B/소울,spring,7.837349397590361,7.660814046288906
R&B/소울,summer,7.540625,7.660814046288906
R&B/소울,winter,7.911032028469751,7.660814046288906
팝,fall,8.716374269005849,8.654320987654321
팝,spring,8.633776091081593,8.654320987654321
팝,summer,8.282051282051283,8.654320987654321
팝,winter,8.91204588910134,8.654320987654321
인디,fall,6.918287937743191,7.036476868327402
인디,spring,6.944444444444445,7.036476868327402
인디,summer,6.888086642599278,7.036476868327402
인디,winter,7.491304347826087,7.036476868327402
드라마,fall,5.783382789317508,6.479607250755287
드라마,spring,6.834239130434782,6.479607250755287
드라마,summer,5.923076923076923,6.479607250755287
드라마,winter,6.981132075471698,6.479607250755287
랩/힙합,fall,7.201353637901861,7.204963971176942
랩/힙합,spring,6.934903047091413,7.204963971176942
랩/힙합,summer,7.559782608695652,7.204963971176942
랩/힙합,winter,7.20695102685624,7.204963971176942
전체,fall,7.916666666666667,7.977099236641221
전체,spring,7.275862068965517,7.977099236641221
전체,summer,8.578947368421053,7.977099236641221
전체,winter,8.152542372881356,7.977099236641221
댄스,fall,6.941538461538461,7.0840768702814
댄스,spring,7.175840978593272,7.0840768702814
댄스,summer,6.419506462984724,7.0840768702814
댄스,winter,7.872200263504611,7.0840768702814
